email,smtp_host,smtp_port,smtp_user,smtp_password
outreach1@yourdomain.com,127.0.0.1,587,outreach1@yourdomain.com,Robelseife@1
outreach2@yourdomain.com,127.0.0.1,587,outreach2@yourdomain.com,Robelseife@1
outreach3@yourdomain.com,127.0.0.1,587,outreach3@yourdomain.com,Robelseife@1
outreach4@yourdomain.com,127.0.0.1,587,outreach4@yourdomain.com,Robelseife@1
outreach5@yourdomain.com,127.0.0.1,587,outreach5@yourdomain.com,Robelseife@1
outreach6@yourdomain.com,127.0.0.1,587,outreach6@yourdomain.com,Robelseife@1
outreach7@yourdomain.com,127.0.0.1,587,outreach7@yourdomain.com,Robelseife@1
outreach8@yourdomain.com,127.0.0.1,587,outreach8@yourdomain.com,Robelseife@1
outreach9@yourdomain.com,127.0.0.1,587,outreach9@yourdomain.com,Robelseife@1
outreach10@yourdomain.com,127.0.0.1,587,outreach10@yourdomain.com,Robelseife@1
outreach11@yourdomain.com,127.0.0.1,587,outreach11@yourdomain.com,Robelseife@1
outreach12@yourdomain.com,127.0.0.1,587,outreach12@yourdomain.com,Robelseife@1
outreach13@yourdomain.com,127.0.0.1,587,outreach13@yourdomain.com,Robelseife@1
outreach14@yourdomain.com,127.0.0.1,587,outreach14@yourdomain.com,Robelseife@1
outreach15@yourdomain.com,127.0.0.1,587,outreach15@yourdomain.com,Robelseife@1
outreach16@yourdomain.com,127.0.0.1,587,outreach16@yourdomain.com,Robelseife@1
outreach17@yourdomain.com,127.0.0.1,587,outreach17@yourdomain.com,Robelseife@1
outreach18@yourdomain.com,127.0.0.1,587,outreach18@yourdomain.com,Robelseife@1
outreach19@yourdomain.com,127.0.0.1,587,outreach19@yourdomain.com,Robelseife@1
outreach20@yourdomain.com,127.0.0.1,587,outreach20@yourdomain.com,Robelseife@1

